draw,phase,participant_id,archetype,amount,player_tvl_before_deposit,early_boost,second_draw_weight,entered_at_minute,withdrawn_at_minute,probability_if_player_side_wins,probability_side_and_wallet,profit_if_win,payout_multiple,ev,status,pnl,fee_paid
25,countdown,player_00026,occasional_player,0.046789372,1.244534337,1.0,0.046789372,30,,0.032602987,0.029342688,1.207131256,25.79926177,-0.00999597,lost,-0.046789372,0.0
26,bootstrap,player_00040,occasional_player,0.097181072,0,1.5,0.145771608,0,,0.059131098,0.053217989,1.658567075,17.066770732,-0.003743687,lost,-0.097181072,0.0
26,bootstrap,player_00017,occasional_player,1.658090059,0.097181072,1.361532056,2.257542767,10,,0.915754345,0.82417891,0.175703538,0.105967427,-0.14671605,won,0.175703538,0.007954708
26,countdown,player_00051,occasional_player,0.061913095,1.755271131,1.0,0.061913095,10,,0.025114557,0.022603101,1.692071653,27.329786267,-0.022267601,lost,-0.061913095,0.0
27,bootstrap,player_00015,occasional_player,0.046992779,0,1.5,0.070489169,0,,0.046769041,0.042092137,1.201742691,25.572922399,0.005569166,lost,-0.046992779,0.0
27,bootstrap,player_00004,persistent_player,0.456006034,0.046992779,1.434350158,0.654072327,10,,0.794009803,0.714608823,0.297672037,0.298075602,-0.072285722,won,0.297672037,0.014348353
27,countdown,player_00052,occasional_player,0.039601596,0.502998813,1.0,0.039601596,10,,0.026275365,0.023647829,1.208764315,30.523121202,-0.010080453,lost,-0.039601596,0.0
27,countdown,player_00030,occasional_player,0.064879159,0.542600409,1.0,0.064879159,10,,0.043046841,0.038742157,1.18475063,18.260881428,-0.016465805,lost,-0.064879159,0.0
27,countdown,player_00004,persistent_player,0.542640065,0.607479568,1.0,0.542640065,10,,0.794009803,0.714608823,0.297672037,0.298075602,-0.072285722,winner_wallet_merged,0.0,0.0
27,countdown,player_00038,occasional_player,0.135493524,1.150119633,1.0,0.135493524,10,,0.089898949,0.080909054,1.117666983,8.248859059,-0.034101493,lost,-0.135493524,0.0
28,bootstrap,player_00038,occasional_player,0.118113558,0,1.5,0.177170337,0,,0.155723705,0.140151334,0.853170912,7.223310574,0.018013256,won,0.853170912,0.043586059
28,bootstrap,player_00021,occasional_player,0.265263684,0.118113558,1.334877436,0.354094506,10,,0.31123104,0.280107936,0.713378293,2.689317595,0.0088617,lost,-0.265263684,0.0
28,countdown,player_00053,opportunistic_player,0.195533482,0.383377242,1.0,0.195533482,10,,0.171863974,0.154677577,0.779621985,3.987153385,-0.044698798,lost,-0.195533482,0.0
28,countdown,player_00031,occasional_player,0.093987805,0.578910724,1.0,0.093987805,10,,0.082610495,0.074349445,0.876090378,9.321319694,-0.02186303,lost,-0.093987805,0.0
28,countdown,player_00054,player_whale,0.249542337,0.672898529,1.0,0.249542337,10,,0.219335007,0.197401507,0.728313572,2.918597225,-0.056512107,lost,-0.249542337,0.0
28,countdown,player_00055,occasional_player,0.043592368,0.922440866,1.0,0.043592368,10,,0.038315472,0.034483925,0.923966043,21.195591918,-0.010227157,lost,-0.043592368,0.0
28,countdown,player_00056,occasional_player,0.023801501,0.966033234,1.0,0.023801501,10,,0.020920307,0.018828277,0.942767367,39.609576158,-0.005602675,lost,-0.023801501,0.0
29,bootstrap,player_00047,occasional_player,0.028966947,0,1.5,0.043450421,0,,0.064180455,0.057762409,0.517483135,17.864607388,0.002597326,lost,-0.028966947,0.0
29,bootstrap,player_00019,occasional_player,0.039910278,0.028966947,1.45925299,0.058239192,10,,0.086024893,0.077422404,0.507086971,12.705673735,0.002439564,lost,-0.039910278,0.0
29,bootstrap,player_00057,occasional_player,0.094768541,0.068877225,1.403112296,0.132970905,20,,0.196410827,0.176769744,0.454971621,4.800871853,0.002408887,won,0.454971621,0.022636327
29,bootstrap,player_00058,opportunistic_player,0.216802272,0.163645766,1.269803987,0.275296389,30,,0.406639268,0.365975341,0.339039577,1.563819297,-0.013377862,lost,-0.216802272,0.0
29,countdown,player_00041,occasional_player,0.167047039,0.380448038,1.0,0.167047039,30,,0.246744557,0.222070102,0.386307048,2.312564475,-0.044163641,lost,-0.167047039,0.0
30,bootstrap,player_00059,occasional_player,0.082701058,0,1.5,0.124051587,0,,0.141430074,0.127287067,0.61086103,7.386375032,0.005580426,lost,-0.082701058,0.0
30,bootstrap,player_00008,persistent_player,0.071815544,0.082701058,1.382211665,0.099264283,10,,0.113170297,0.101853267,0.621202268,8.649969542,-0.001229416,lost,-0.071815544,0.0
