participant_id,mode,archetype,staker_principal,active,active_from_draw,bankroll,cumulative_pnl,wins,losses,entries,withdrawals,fees_paid,pro_rata_received
player_01401,player,occasional_player,0.0,True,1,0.83259699,-0.16740301,0,1,1,0,0.0,0.0
player_01402,player,occasional_player,0.0,True,1,3.552497839,-1.260143406,0,2,2,0,0.0,0.0
player_01403,player,occasional_player,0.0,True,1,1.099690551,-0.556670358,0,3,3,0,0.0,0.0
player_01404,player,occasional_player,0.0,True,1,16.042319618,3.094422654,2,2,4,0,0.382234964,0.0
player_01405,player,occasional_player,0.0,True,1,10.760476169,-3.658389001,0,2,2,0,0.0,0.0
player_01406,player,occasional_player,0.0,True,1,6.137812956,-0.652392289,0,1,1,0,0.0,0.0
player_01407,player,occasional_player,0.0,True,1,1.108086932,-0.374476173,0,2,2,0,0.0,0.0
player_01408,player,occasional_player,0.0,True,1,0.892513231,-0.107486769,0,1,1,0,0.0,0.0
player_01409,player,opportunistic_player,0.0,True,1,19.138433695,-3.310761915,0,1,1,0,0.0,0.0
player_01410,player,player_whale,0.0,True,1,60.142155977,5.874287846,1,0,1,0,0.309173045,0.0
player_01411,player,occasional_player,0.0,True,1,0.642136713,-0.357863287,0,2,2,0,0.0,0.0
player_01412,player,occasional_player,0.0,True,1,3.27081057,-0.855607302,0,1,1,0,0.0,0.0
player_01413,player,occasional_player,0.0,True,1,1.105791169,-0.414169905,0,2,2,0,0.0,0.0
player_01414,player,occasional_player,0.0,True,1,4.490705454,-1.749999601,0,2,2,0,0.0,0.0
player_01415,player,occasional_player,0.0,True,1,3.58396068,-2.233536549,0,3,3,0,0.0,0.0
player_01416,player,occasional_player,0.0,True,1,9.528332951,-2.414038201,0,2,2,0,0.0,0.0
player_01417,player,opportunistic_player,0.0,True,1,12.681233837,9.681233837,1,1,2,0,0.520635614,0.0
player_01418,player,occasional_player,0.0,True,1,3.653288442,-0.796973673,0,2,2,0,0.0,0.0
player_01419,player,occasional_player,0.0,True,1,2.968713527,-0.605368903,0,1,1,0,0.0,0.0
player_01420,player,occasional_player,0.0,True,1,1.700524654,-0.650761056,0,2,2,0,0.0,0.0
player_01421,player,occasional_player,0.0,True,1,1.472680559,-0.661536661,0,2,2,0,0.0,0.0
player_01422,player,opportunistic_player,0.0,True,1,4.959282633,-3.099854779,0,3,3,0,0.0,0.0
player_01423,player,opportunistic_player,0.0,True,1,3.921955087,-0.645583849,0,1,1,0,0.0,0.0
player_01424,player,occasional_player,0.0,True,1,2.24739756,-0.404430222,0,1,1,0,0.0,0.0
player_01425,player,opportunistic_player,0.0,True,1,1.559194697,-1.440805303,0,4,4,0,0.0,0.0
player_01426,player,opportunistic_player,0.0,True,1,4.961388462,-0.416350296,0,1,1,0,0.0,0.0
player_01427,player,occasional_player,0.0,True,1,0.920656827,-0.079343173,0,1,1,0,0.0,0.0
player_01428,player,occasional_player,0.0,True,1,3.227659757,-1.464011108,0,2,2,0,0.0,0.0
player_01429,player,occasional_player,0.0,True,1,0.915818266,-0.211463759,0,1,1,0,0.0,0.0
player_01430,player,occasional_player,0.0,True,1,1.052333769,-0.118689801,0,1,1,0,0.0,0.0
player_01431,player,occasional_player,0.0,True,1,1.901268782,-0.694815782,0,2,2,0,0.0,0.0
player_01432,player,occasional_player,0.0,True,1,11.999542336,6.061060709,1,1,2,0,0.375354905,0.0
player_01433,player,occasional_player,0.0,True,1,2.694542066,-0.652709151,0,1,1,0,0.0,0.0
player_01434,player,occasional_player,0.0,True,1,2.019566494,-0.831640957,0,3,3,0,0.0,0.0
player_01435,player,occasional_player,0.0,True,1,8.66212768,6.967928871,2,4,6,0,0.510252321,0.0
player_01436,player,occasional_player,0.0,True,1,2.529381736,-1.212722992,0,3,3,0,0.0,0.0
player_01437,player,occasional_player,0.0,True,1,26.194857073,3.809538243,1,0,1,0,0.200502013,0.0
player_01438,player,occasional_player,0.0,True,1,0.635688658,-0.364311342,0,2,2,0,0.0,0.0
player_01439,player,opportunistic_player,0.0,True,1,30.77199486,10.657183731,2,1,3,0,0.618322703,0.0
player_01440,player,occasional_player,0.0,True,1,1.140354537,-0.292923376,0,1,1,0,0.0,0.0
player_01441,player,occasional_player,0.0,True,1,23.39125852,7.876016534,1,1,2,0,0.549101503,0.0
player_01442,player,occasional_player,0.0,True,1,3.099041565,-1.022142999,0,2,2,0,0.0,0.0
player_01443,player,occasional_player,0.0,True,1,5.80089902,-1.969966332,0,2,2,0,0.0,0.0
player_01444,player,occasional_player,0.0,True,1,2.346986248,-0.269833472,0,1,1,0,0.0,0.0
player_01445,player,occasional_player,0.0,True,1,0.919056233,-0.217222518,0,2,2,0,0.0,0.0
player_01446,player,occasional_player,0.0,True,1,1.135099054,-0.426585122,0,2,2,0,0.0,0.0
player_01447,player,opportunistic_player,0.0,True,1,3.930947993,-2.129127649,0,3,3,0,0.0,0.0
player_01448,player,opportunistic_player,0.0,True,1,7.136126569,-4.711080016,0,5,5,0,0.0,0.0
player_01449,player,opportunistic_player,0.0,True,1,10.648383966,-0.712657554,0,1,1,0,0.0,0.0
player_01450,player,occasional_player,0.0,True,1,2.352686369,-0.628865475,0,2,2,0,0.0,0.0
player_01451,player,occasional_player,0.0,True,1,4.20974814,-0.610999034,0,2,2,0,0.0,0.0
player_01452,player,opportunistic_player,0.0,True,1,15.165732259,2.769028171,1,0,1,0,0.145738325,0.0
player_01453,player,occasional_player,0.0,True,1,2.122643684,-0.866235351,0,2,2,0,0.0,0.0
player_01454,player,occasional_player,0.0,True,1,0.887649997,-0.3704801,0,3,3,0,0.0,0.0
player_01455,player,occasional_player,0.0,True,1,4.665455319,1.789469177,1,2,3,0,0.14067406,0.0
player_01456,player,occasional_player,0.0,True,1,1.295500161,-0.215786936,0,1,1,0,0.0,0.0
player_01457,player,occasional_player,0.0,True,1,4.292347122,-0.553058323,0,1,1,0,0.0,0.0
player_01458,player,occasional_player,0.0,True,1,2.018436137,-0.641415151,0,2,2,0,0.0,0.0
player_01459,player,opportunistic_player,0.0,True,1,32.528155874,12.389239526,2,0,2,0,0.652065238,0.0
player_01460,player,occasional_player,0.0,True,1,5.838201971,-1.978076755,0,2,2,0,0.0,0.0
player_01461,player,occasional_player,0.0,True,1,3.281869138,-1.991707232,0,3,3,0,0.0,0.0
player_01462,player,occasional_player,0.0,True,1,7.842900941,-0.596998759,0,1,1,0,0.0,0.0
player_01463,player,occasional_player,0.0,True,1,19.662929991,6.287553832,1,2,3,0,0.451663393,0.0
player_01464,player,occasional_player,0.0,True,1,1.47287631,-0.893770633,0,3,3,0,0.0,0.0
player_01465,player,occasional_player,0.0,True,1,0.683982398,-0.316017602,0,3,3,0,0.0,0.0
player_01466,player,occasional_player,0.0,True,1,2.448319728,-0.797553741,0,2,2,0,0.0,0.0
player_01467,player,occasional_player,0.0,True,1,8.215995273,-0.914298832,0,1,1,0,0.0,0.0
player_01468,player,occasional_player,0.0,True,1,4.98033116,-1.220827888,0,1,1,0,0.0,0.0
player_01469,player,occasional_player,0.0,True,1,22.893214054,2.310245395,1,0,1,0,0.121591863,0.0
player_01470,player,occasional_player,0.0,True,1,1.379519895,-0.732153197,0,3,3,0,0.0,0.0
player_01471,player,occasional_player,0.0,True,1,1.554028131,-0.29167906,0,1,1,0,0.0,0.0
player_01472,player,occasional_player,0.0,True,1,11.21597616,-1.207300917,0,1,1,0,0.0,0.0
player_01473,player,occasional_player,0.0,True,1,5.003939955,-0.636034794,0,1,1,0,0.0,0.0
player_01474,player,occasional_player,0.0,True,1,1.505591154,-0.235408579,0,1,1,0,0.0,0.0
player_01475,player,occasional_player,0.0,True,1,9.583235169,-4.828022667,0,2,2,0,0.0,0.0
player_01476,player,opportunistic_player,0.0,True,1,5.127920528,-0.822127652,0,2,2,0,0.0,0.0
player_01477,player,occasional_player,0.0,True,1,2.971056738,-0.935443862,0,2,2,0,0.0,0.0
player_01478,player,occasional_player,0.0,True,1,2.539791986,-1.946384808,0,4,4,0,0.0,0.0
player_01479,player,opportunistic_player,0.0,True,1,12.818906274,-2.642681645,0,2,2,0,0.0,0.0
player_01480,player,occasional_player,0.0,True,1,4.810231809,-1.725806988,0,2,2,0,0.0,0.0
player_01481,player,opportunistic_player,0.0,True,1,1.892244835,-1.107755165,0,3,3,0,0.0,0.0
player_01482,player,player_whale,0.0,True,1,59.008259724,7.945638611,2,1,3,0,0.469084492,0.0
player_01483,player,occasional_player,0.0,True,1,2.685664957,-1.224017964,0,2,2,0,0.0,0.0
player_01484,player,occasional_player,0.0,True,1,0.702914451,-0.317384142,0,2,2,0,0.0,0.0
player_01485,player,occasional_player,0.0,True,1,3.818780912,-1.458201977,0,2,2,0,0.0,0.0
player_01486,player,occasional_player,0.0,True,1,1.739494839,-0.41446049,0,1,1,0,0.0,0.0
player_01487,player,occasional_player,0.0,True,1,2.143914739,-1.117198213,0,2,2,0,0.0,0.0
player_01488,player,occasional_player,0.0,True,1,32.993583409,0.982612842,1,0,1,0,0.051716465,0.0
player_01489,player,occasional_player,0.0,True,1,1.428079787,-0.64609701,0,3,3,0,0.0,0.0
player_01490,player,occasional_player,0.0,True,1,2.172719292,-0.470879919,0,2,2,0,0.0,0.0
player_01491,player,occasional_player,0.0,True,1,1.206471959,-0.50489405,0,2,2,0,0.0,0.0
player_01492,player,occasional_player,0.0,True,1,4.466765238,-1.50590283,0,2,2,0,0.0,0.0
