draw,staker_count,staker_tvl,initial_player_threshold,player_threshold,activation_threshold_pct,funding_minutes,threshold_decay_steps,cycle_minutes,pending_withdrawn_count,pending_withdrawn_tvl,player_position_count,player_tvl,bootstrap_player_tvl,countdown_player_tvl,player_effective_wallet_count,player_largest_share,player_gini,median_player_profit_multiple,target_player_probability,activated,activation_reason,winner_mode,winner_id,gross_prize,protocol_fee,winner_profit,staker_jackpot_paid,staker_pro_rata_paid,staker_erosion_paid,protocol_revenue_cumulative,staker_cumulative_pnl,player_cumulative_pnl
262,161,866.610881635,8.666108816,4.144972982,0.004782969,70,7,75,0,0,13,15.442699919,7.148127077,8.294572842,4.838999,0.375082,0.60166,37.246537544,0.9,True,activated,player,player_00423,15.442699919,0.482520833,9.774523447,0.0,0.0,0.606627617,81.129170597,78.047620775,-159.176791371
263,157,859.537094709,8.595370947,4.111139278,0.004782969,70,7,75,1,0.138011524,12,7.847931878,4.982576556,2.865355322,6.850793,0.271202,0.326269,11.233126814,0.9,True,activated,player,player_00452,7.847931878,0.360094746,7.391155398,0.0,0.0,0.549355231,81.489265342,77.498265543,-158.987530886
264,152,829.217750274,8.292177503,4.406803104,0.00531441,60,6,65,0,0,11,9.577330801,4.931788751,4.64554205,5.484179,0.282865,0.50416,19.490336721,0.9,True,activated,player,player_00627,9.577330801,0.442081973,8.980009909,0.0,0.0,0.580452425,81.931347315,76.917813118,-158.849160433
265,153,783.061825797,7.830618258,4.623901775,0.0059049,50,5,55,0,0,7,6.341641486,6.186655756,0.15498573,3.466614,0.451434,0.504134,13.949970312,0.9,True,activated,player,player_00228,6.341641486,0.173940326,3.748781089,0.0,0.0,0.443914904,82.105287641,76.473898214,-158.579185855
266,150,779.302247452,7.793022475,3.727378491,0.004782969,70,7,75,0,0,10,5.936158802,3.826283435,2.109875367,6.287378,0.276584,0.41178,10.987809379,0.9,True,activated,player,player_00266,5.936158802,0.242201892,5.017367073,0.0,0.0,0.415531116,82.347489533,76.058367098,-158.405856631
267,148,774.582251954,7.74582252,3.000890348,0.003874205,100,9,105,2,2.451257859,13,5.389807145,3.566050777,1.823756368,9.878865,0.152502,0.320251,11.954433819,0.9,True,activated,staker,staker_00409,5.389807145,0.269490357,1.616942144,1.616942144,3.503374644,0.0,82.61697989,81.178683886,-163.795663776
268,146,771.500397407,7.715003974,4.100069427,0.00531441,60,6,65,0,0,10,12.27179589,7.834264837,4.437531053,5.197609,0.337816,0.495297,9.880784213,0.9,True,activated,player,player_00432,12.27179589,0.406309622,8.259933105,0.0,0.0,0.540050278,83.023289513,80.638633608,-163.66192312
269,144,764.611945839,7.646119458,5.016618977,0.006561,40,4,45,0,0,7,6.038770859,5.223109649,0.81566121,5.308104,0.325028,0.27675,7.289798799,0.9,True,activated,staker,staker_00484,6.038770859,0.301938543,1.811631258,1.811631258,3.925201058,0.0,83.325228056,86.375465924,-169.700693979
270,145,768.250926636,7.682509266,3.30706833,0.004304672,80,8,85,0,0,13,7.150951548,3.887202424,3.263749124,7.781174,0.184354,0.441043,17.239188913,0.9,True,activated,player,player_00247,7.150951548,0.292160967,6.051624978,0.0,0.0,0.500566608,83.617389023,85.874899315,-169.492288338
271,145,776.604532839,7.766045328,3.008725079,0.003874205,90,9,95,0,0,10,6.825714975,6.825714975,0,2.965391,0.556269,0.56967,23.135028951,0.9,True,activated,player,player_00186,6.825714975,0.151439136,3.355143628,0.0,0.0,0.477800048,83.768828158,85.397099267,-169.165927425
272,148,786.419660405,7.864196604,5.159699392,0.006561,40,4,45,0,0,5,5.480209317,5.480209317,0,3.167457,0.379324,0.406668,2.744024466,0.9,True,activated,player,player_00599,5.480209317,0.170071822,3.614979275,0.0,0.0,0.383614652,83.938899981,85.013484615,-168.952384595
273,142,770.10665795,7.70106658,2.98355098,0.003874205,90,9,95,0,0,10,3.453697937,3.453697937,0,7.007206,0.19471,0.35899,13.857791778,0.9,True,activated,player,player_00041,3.453697937,0.146192329,3.019413107,0.0,0.0,0.241758856,84.08509231,84.771725759,-168.856818069
274,142,759.006896472,7.590068965,2.94054823,0.003874205,90,9,95,0,0,15,8.786968598,3.639024742,5.147943856,5.477169,0.371172,0.53579,25.874758171,0.9,True,activated,player,player_00647,8.786968598,0.381523845,7.780257875,0.0,0.0,0.531304828,84.466616154,84.240420932,-168.707037086
275,139,731.345425203,7.313454252,4.318521601,0.0059049,50,5,55,0,0,10,12.022165377,4.328406928,7.693758449,3.927742,0.427108,0.564382,24.647675558,0.9,True,activated,player,player_00415,12.022165377,0.47882493,9.60961547,0.0,0.0,0.511941798,84.945441084,83.728479134,-168.673920218
276,139,726.958961675,7.269589617,4.292619973,0.0059049,50,5,55,0,0,10,11.5345515,6.895126234,4.639425266,4.848983,0.275168,0.538202,27.004600472,0.9,True,activated,player,player_00314,11.5345515,0.418030551,8.451451735,0.0,0.0,0.508871273,85.363471635,83.219607861,-168.583079496
277,141,731.50755775,7.315075577,3.498777972,0.004782969,70,7,75,0,0,9,7.819773454,3.966091755,3.853681699,3.247527,0.492812,0.608135,22.264009504,0.9,True,activated,player,player_00424,7.819773454,0.323294134,6.654643832,0.0,0.0,0.51205529,85.686765769,82.70755257,-168.394318339
278,142,733.260319461,7.332603195,6.599342875,0.009,10,1,15,0,0,7,21.822616963,16.289843505,5.532773458,3.123231,0.465734,0.57837,13.323773392,0.9,True,activated,player,player_00587,21.822616963,0.784815768,15.424781814,0.0,0.0,0.513282224,86.471581537,82.194270347,-168.665851883
279,141,730.781184354,7.307811844,3.495303751,0.004782969,70,7,75,1,0.285829369,10,8.685722255,3.857101139,4.828621116,4.944356,0.332099,0.519062,24.948783814,0.9,True,activated,player,player_00668,8.685722255,0.290060308,6.022692682,0.0,0.0,0.511546829,86.761641845,81.682723518,-168.444365362
280,144,744.255038892,7.442550389,5.425619234,0.00729,30,3,35,0,0,6,10.205696168,6.379609733,3.826086435,3.659778,0.334307,0.430307,10.696471059,0.9,True,activated,player,player_00081,10.205696168,0.339693213,6.975149582,0.0,0.0,0.520978527,87.101335058,81.161744991,-168.263080049
281,144,743.282123971,7.43282124,4.389006614,0.0059049,50,5,55,0,0,8,8.051839902,4.908192682,3.14364722,4.227599,0.331591,0.492503,13.533843339,0.9,True,activated,player,player_00516,8.051839902,0.3450465,7.07618098,0.0,0.0,0.520297487,87.446381558,80.641447504,-168.087829061
282,147,752.457815538,7.524578155,4.443188155,0.0059049,50,5,55,0,0,7,5.84829515,5.680623626,0.167671524,3.064333,0.497673,0.562803,10.357672655,0.9,True,activated,player,player_00673,5.84829515,0.146887804,3.200248934,0.0,0.0,0.40938066,87.593269362,80.232066843,-167.825336205
283,143,747.193002643,7.471930026,5.447036989,0.00729,30,3,35,0,0,8,15.45764431,8.556157994,6.901486316,4.096841,0.356928,0.522512,13.059190794,0.9,True,activated,player,player_00302,15.45764431,0.497018839,9.966393043,0.0,0.0,0.523035102,88.090288201,79.709031741,-167.799319942
284,143,746.646596324,7.466465963,4.898748318,0.006561,40,4,45,0,0,8,8.941268816,6.986815679,1.954453137,5.052488,0.308266,0.423254,8.559572637,0.9,True,activated,player,player_00132,8.941268816,0.350917396,7.190083137,0.0,0.0,0.522652617,88.441205596,79.186379124,-167.62758472
285,146,750.879070078,7.508790701,5.473908421,0.00729,30,3,35,0,0,7,8.855855545,6.654119078,2.201736467,4.793987,0.309258,0.377421,8.021380467,0.9,True,activated,player,player_00678,8.855855545,0.33161011,6.826207442,0.0,0.0,0.525615349,88.772815706,78.660763775,-167.433579481
286,143,743.778461037,7.43778461,3.557469322,0.004782969,70,7,75,1,1.039330551,11,10.901492152,4.916812913,5.984679239,6.70141,0.295401,0.383273,11.099844824,0.9,True,activated,player,player_00134,10.901492152,0.506684469,10.147649839,0.0,0.0,0.520644923,89.279500176,78.140118852,-167.419619028
