draw,staker_count,staker_tvl,initial_player_threshold,player_threshold,activation_threshold_pct,funding_minutes,threshold_decay_steps,cycle_minutes,pending_withdrawn_count,pending_withdrawn_tvl,player_position_count,player_tvl,bootstrap_player_tvl,countdown_player_tvl,player_effective_wallet_count,player_largest_share,player_gini,median_player_profit_multiple,target_player_probability,activated,activation_reason,winner_mode,winner_id,gross_prize,protocol_fee,winner_profit,staker_jackpot_paid,staker_pro_rata_paid,staker_erosion_paid,protocol_revenue_cumulative,staker_cumulative_pnl,player_cumulative_pnl
55,487,10754.971190155,107.549711902,33.750239201,0.003138106,110,11,115,1,1.696670998,15,65.42627585,60.705294321,4.720981529,5.161431,0.371933,0.581052,24.819297207,0.9,True,activated,player,player_00021,65.42627585,3.095780557,63.399669888,0.0,0.0,4.57983931,197.045699321,743.244417681,-940.290117002
56,490,10706.890379547,107.068903795,51.210724772,0.004782969,70,7,75,1,1.86138925,11,52.379991185,52.379991185,0,8.030266,0.252572,0.2687,12.257033613,0.9,True,activated,player,player_00201,52.379991185,2.393374623,49.140717216,0.0,0.0,3.666599383,199.439073944,739.577818298,-939.016892242
57,490,10684.705776654,106.847057767,63.092119141,0.0059049,50,5,55,0,0,12,96.773313669,78.758129949,18.01518372,4.167092,0.414501,0.622813,37.938263343,0.9,True,activated,player,player_00031,96.773313669,2.833033919,60.601776422,0.0,0.0,6.774131957,202.272107863,732.803686341,-935.075794205
58,489,10657.101066299,106.571010663,62.929116086,0.0059049,50,5,55,0,0,11,77.430549332,67.863787553,9.566761779,3.737553,0.427253,0.626862,31.501270625,0.9,True,activated,player,player_00175,77.430549332,2.872603802,59.999610697,0.0,0.0,5.420138453,205.144711666,727.383547888,-932.528259554
59,487,10695.761512658,106.957615127,70.174891285,0.006561,40,4,45,0,0,12,94.921833784,70.251262419,24.670571365,3.866361,0.420954,0.577395,19.33605205,0.9,True,activated,player,player_00302,94.921833784,2.748206574,58.860453269,0.0,0.0,6.644528365,207.89291824,720.739019523,-928.631937763
60,488,10596.586247977,105.96586248,45.614829177,0.004304672,80,8,85,0,0,15,83.020189601,56.736295998,26.283893603,7.247595,0.235987,0.531983,31.20503837,0.9,True,activated,player,player_00307,83.020189601,3.171426714,66.068520832,0.0,0.0,5.811413272,211.064344953,714.927606251,-925.991951204
61,488,10607.921654189,106.079216542,69.598573973,0.006561,40,4,45,0,0,10,89.38369058,88.98051053,0.40318005,3.907333,0.36337,0.612288,31.658689643,0.9,True,activated,player,player_00296,89.38369058,3.808942246,78.626761017,0.0,0.0,6.256858341,214.873287199,708.67074791,-923.54403511
62,486,10522.115519633,105.221155196,62.132039932,0.0059049,50,5,55,0,0,9,67.465023326,67.465023326,0,4.647799,0.355717,0.348101,9.230804063,0.9,True,activated,player,player_00059,67.465023326,2.930305844,60.398362664,0.0,0.0,4.722551633,217.803593043,703.948196278,-921.751789321
63,483,10252.627934362,102.526279344,44.134201421,0.004304672,80,8,85,0,0,15,69.990789253,45.861570675,24.129218578,9.053995,0.189547,0.445944,17.028391919,0.9,True,activated,player,player_00315,69.990789253,3.396700897,69.436672296,0.0,0.0,4.899355248,221.20029394,699.04884103,-920.24913497
64,481,10507.444960642,105.074449606,50.256783516,0.004782969,70,7,75,0,0,14,62.681109341,50.934143351,11.74696599,5.764467,0.333443,0.552354,32.676958449,0.9,True,activated,player,player_00299,62.681109341,3.11681627,63.607186793,0.0,0.0,4.387677654,224.317110211,694.661163376,-918.978273587
65,478,10345.207593737,103.452075937,61.08741632,0.0059049,50,5,55,0,0,15,98.883939929,63.206875833,35.677064096,8.856715,0.217036,0.421077,19.022730996,0.9,True,activated,player,player_00138,98.883939929,3.871126463,80.473278601,0.0,0.0,6.921875795,228.188236674,687.739287581,-915.927524255
66,479,10371.498676965,103.71498677,44.64590099,0.004304672,80,8,85,1,3.444838862,14,60.079035996,54.583520868,5.495515128,5.453891,0.335339,0.558737,19.429324035,0.9,True,activated,player,player_00322,60.079035996,2.367191461,49.182170287,0.0,0.0,4.20553252,230.555428136,683.533755061,-914.089183197
67,474,10390.762389617,103.907623896,55.220771551,0.00531441,60,6,65,1,1.561315435,9,59.942653352,59.942653352,0,4.891155,0.335896,0.458869,13.013161472,0.9,True,activated,player,player_00215,59.942653352,2.778194046,56.981672615,0.0,0.0,4.195985735,233.333622182,679.337769327,-912.671391509
68,477,10396.323717837,103.963237178,44.752764651,0.004304672,80,8,85,0,0,15,68.890885135,48.131673062,20.759212073,7.863452,0.250245,0.484906,20.307862544,0.9,True,activated,player,player_00017,68.890885135,3.062560885,63.011018768,0.0,0.0,4.822361959,236.396183067,674.515407367,-910.911590434
69,476,10505.060546759,105.050605468,50.245378938,0.004782969,70,7,75,0,0,16,64.425071974,52.768607466,11.656464508,10.372508,0.1775,0.392625,25.551460443,0.9,True,activated,player,player_00334,64.425071974,3.161464635,64.577583112,0.0,0.0,4.509755038,239.557647702,670.005652329,-909.563300031
70,472,10426.739563338,104.267395633,49.870772103,0.004782969,70,7,75,1,0.999804779,15,104.486921217,55.962107801,48.524813416,4.462862,0.35031,0.667244,76.797494672,0.9,True,activated,player,player_00260,104.486921217,3.39420389,71.788591612,0.0,0.0,7.298717694,242.951851593,662.706934635,-905.658786227
71,474,10427.909025933,104.279090259,44.888729045,0.004304672,80,8,85,1,1.189452787,15,69.487501675,69.487501675,0,5.701556,0.350299,0.552155,26.866020822,0.9,True,activated,player,player_00338,69.487501675,2.928957491,60.514317438,0.0,0.0,4.864125117,245.880809083,657.842809517,-903.723618601
72,478,10621.031595241,106.210315952,45.720058381,0.004304672,80,8,85,0,0,20,81.258456786,53.646579806,27.61187698,9.451346,0.200195,0.435871,21.573022374,0.9,True,activated,player,player_00347,81.258456786,3.249545776,67.429461727,0.0,0.0,5.688091975,249.13035486,652.154717542,-901.285072402
