scenario,seed,capital_scale,activated_draws,activation_rate,player_wins,staker_wins,player_win_rate,avg_stakers,avg_staker_tvl,avg_player_positions,avg_player_tvl,median_funding_minutes,p90_funding_minutes,max_funding_minutes,avg_activation_threshold_pct,avg_pending_withdrawn_positions,draws_reaching_floor,minutes_at_floor,funding_clock_resets,funding_staker_withdrawals,queued_staker_withdrawals,avg_queued_staker_withdrawal_minutes,draws_over_24h_funding,max_abs_conservation_error,draws_per_day,avg_effective_player_wallets,median_largest_player_share,median_player_gini,median_player_winner_profit,median_staker_jackpot,median_staker_prorata,protocol_revenue,protocol_revenue_per_day,protocol_take_per_player_sol,staker_pnl,staker_return_per_draw,player_pnl,player_ev_per_stake,player_pnl_per_stake,profitable_stakers,profitable_staker_rate,stakers,profitable_players,profitable_player_rate,players,stage,case_id,changes,draws,safe_pro_rata_share
small,20270811,0.2,300,1.0,267,33,0.89,31.953333333333333,34.82232749979333,5.3533333333333335,0.9293027006033333,20.0,30.0,50.0,0.008297355333333332,0.023333333333333334,0,0.0,0,20,8,5.0,0,0.0,61.53846153846154,3.3496054666666666,0.434206,0.3818695,0.557190165,0.246143841,0.549721245,6.194090562703284,1.2705826795288788,0.02221769992591178,21.269961846667233,0.0020360463505101688,-27.464052409370513,-0.09548018115631933,-0.09851132607828773,133,0.8986486486486487,148,136,0.24113475177304963,564,screening,oat__protocol_fee_rate-0p03,"{""protocol_fee_rate"":0.03}",300,0.6699999999999999
medium,20270817,1.0,300,1.0,272,28,0.9066666666666666,94.54,477.35674011872,6.94,6.905018170483333,40.0,60.0,80.0,0.00692241172,0.03666666666666667,0,0.0,3,103,23,5.0,0,0.0,34.95145631067961,3.97073679,0.3949415,0.4275375,4.5666780995,1.8471552625,4.125313419499999,47.37718077436414,5.519671546527861,0.022870893604541042,113.67598939174825,0.0007937878169373335,-161.05317016611227,-0.07844771335231841,-0.07774692076098184,322,0.6571428571428571,490,128,0.20611916264090177,621,screening,oat__protocol_fee_rate-0p03,"{""protocol_fee_rate"":0.03}",300,0.6699999999999999
large,20270829,5.0,300,1.0,274,26,0.9133333333333333,328.55333333333334,7766.466027957887,12.693333333333333,65.28946199631,60.0,90.0,110.0,0.005291892383333333,0.2966666666666667,0,0.0,4,669,110,5.0,0,1e-12,21.354424122590213,5.978284366666666,0.3102425,0.504954,54.0083161335,17.2097020695,38.4350012875,519.7176586681414,36.99423769066355,0.02653402467397237,266.46279014817463,0.00011436466692785638,-786.1804488163157,-0.06377745123568873,-0.04013820019228363,732,0.35447941888619855,2065,171,0.15405405405405406,1110,screening,oat__protocol_fee_rate-0p03,"{""protocol_fee_rate"":0.03}",300,0.6699999999999999
small,20270811,0.2,300,1.0,267,33,0.89,31.953333333333333,34.75524828548,5.3533333333333335,0.9280547298866667,20.0,30.0,50.0,0.008297355333333332,0.023333333333333334,0,0.0,0,20,8,5.0,0,0.0,61.53846153846154,3.3502509766666666,0.434269,0.38157,0.551418487,0.245923155,0.54103094,8.247879178249896,1.6918726519486966,0.02962425567027036,20.955398345472712,0.0020098066123562914,-29.203277523722605,-0.1017949985219787,-0.10489064413722243,133,0.8986486486486487,148,136,0.24113475177304963,564,screening,oat__protocol_fee_rate-0p04,"{""protocol_fee_rate"":0.04}",300,0.6599999999999999
medium,20270817,1.0,300,1.0,278,22,0.9266666666666666,89.77666666666667,461.4993874387233,6.75,6.953433238003333,30.0,50.0,70.0,0.007035178813333333,0.07,0,0.0,5,97,28,5.0,0,0.0,36.30252100840336,3.914887626666667,0.4131995,0.4262865,4.3245627325000005,2.178624002,4.792972804,62.53334044480881,7.567059684077704,0.029977201335612064,68.69612510733923,0.0004961806882604694,-131.229465552148,-0.08672305019005294,-0.06290871528754359,256,0.5505376344086022,465,132,0.2108626198083067,626,screening,oat__protocol_fee_rate-0p04,"{""protocol_fee_rate"":0.04}",300,0.6599999999999999
large,20270829,5.0,300,1.0,277,23,0.9233333333333333,334.5466666666667,8051.122330570433,12.913333333333334,63.11945700044,60.0,90.0,120.0,0.0051751460366666665,0.3466666666666667,0,0.0,3,695,99,5.0,0,1e-12,20.809248554913296,6.154175856666667,0.3020075,0.505282,52.681400115,18.732583173,41.21168298,671.2662451899229,46.561820475601586,0.035449515204439716,136.6636424629191,5.65816113794064e-05,-807.9298876528419,-0.07014104076957493,-0.04266671092387101,536,0.2585624698504583,2073,162,0.14594594594594595,1110,screening,oat__protocol_fee_rate-0p04,"{""protocol_fee_rate"":0.04}",300,0.6599999999999999
small,20270811,0.2,300,1.0,273,27,0.91,37.31333333333333,36.32611653348,5.26,0.9571741975333333,20.0,30.0,60.0,0.0082704937,0.023333333333333334,0,0.0,1,24,9,5.0,0,0.0,60.589060308555396,3.28373494,0.45663,0.376678,0.53685406,0.231443677,0.493746512,12.787547225001283,2.582618233380343,0.04453228840321568,15.687570231845351,0.001439512553581745,-28.475117456846657,-0.11333832643245996,-0.09916382873054143,132,0.7857142857142857,168,130,0.24029574861367836,541,screening,oat__protocol_fee_rate-0p06,"{""protocol_fee_rate"":0.06}",300,0.6399999999999999
medium,20270817,1.0,300,1.0,280,20,0.9333333333333333,89.67333333333333,460.92283533804334,6.85,6.742201662503334,40.0,51.00000000000023,70.0,0.0069672110433333335,0.056666666666666664,0,0.0,4,99,30,5.0,0,0.0,35.55555555555556,3.93171304,0.408235,0.42682200000000003,4.0287645755,2.1400381845,4.565414794,90.74271212391605,10.75469180727894,0.044863046556725725,42.0920210153581,0.0003044039608386046,-132.83473313927425,-0.09912261475875915,-0.06567327202034161,189,0.40997830802603036,461,138,0.22009569377990432,627,screening,oat__protocol_fee_rate-0p06,"{""protocol_fee_rate"":0.06}",300,0.6399999999999999
large,20270829,5.0,300,1.0,268,32,0.8933333333333333,347.38,8278.023688938923,13.166666666666666,64.73352111363,70.0,90.0,110.0,0.005117832726666667,0.35,0,0.0,4,724,97,5.0,0,1e-12,20.512820512820515,6.2156339633333335,0.292433,0.5131365000000001,50.876688726,20.532420055499998,43.8024961185,1043.973959212758,71.38283481796635,0.053757514460976125,902.1519143015336,0.00036327185819605185,-1946.12587351429,-0.08636105471361316,-0.10021216416855405,1152,0.5373134328358209,2144,162,0.14944649446494465,1084,screening,oat__protocol_fee_rate-0p06,"{""protocol_fee_rate"":0.06}",300,0.6399999999999999
small,20270811,0.2,300,1.0,275,25,0.9166666666666666,35.96666666666667,36.591794417483335,5.403333333333333,0.9842368281566667,20.0,30.0,50.0,0.008239675,0.023333333333333334,0,0.0,1,29,7,5.0,0,0.0,59.75103734439834,3.40473111,0.4497275,0.38244100000000003,0.545890886,0.273500228,0.569792142,16.615485876489505,3.309308390338159,0.056271977777299496,17.57084759194822,0.0016006181961160284,-34.18633346843775,-0.12312572144763222,-0.11577949700196914,121,0.7202380952380952,168,131,0.2314487632508834,566,screening,oat__protocol_fee_rate-0p075,"{""protocol_fee_rate"":0.075}",300,0.625
