scenario,seed,capital_scale,activated_draws,activation_rate,player_wins,staker_wins,player_win_rate,avg_stakers,avg_staker_tvl,avg_player_positions,avg_player_tvl,median_funding_minutes,p90_funding_minutes,max_funding_minutes,avg_activation_threshold_pct,avg_pending_withdrawn_positions,draws_reaching_floor,minutes_at_floor,funding_clock_resets,funding_staker_withdrawals,queued_staker_withdrawals,avg_queued_staker_withdrawal_minutes,draws_over_24h_funding,max_abs_conservation_error,draws_per_day,avg_effective_player_wallets,median_largest_player_share,median_player_gini,median_player_winner_profit,median_staker_jackpot,median_staker_prorata,protocol_revenue,protocol_revenue_per_day,protocol_take_per_player_sol,staker_pnl,staker_return_per_draw,player_pnl,player_ev_per_stake,player_pnl_per_stake,profitable_stakers,profitable_staker_rate,stakers,profitable_players,profitable_player_rate,players,stage,case_id,changes,draws,safe_pro_rata_share
large,20280829,5.0,300,1.0,256,44,0.8533333333333334,335.30333333333334,8351.497100617817,12.756666666666666,68.11704742278333,60.0,90.0,110.0,0.0052190415666666665,0.3433333333333333,0,0.0,2,626,108,5.0,0,1e-12,21.04237700925475,5.921551526666667,0.303982,0.5098665,54.701985049499996,20.554347714000002,44.534420046,912.6552391436032,64.01478540510418,0.04466112736209337,1767.896894821139,0.0007056207501967345,-2680.552133964746,-0.13007094642709302,-0.1311738267870653,1713,0.8372434017595308,2046,157,0.14839319470699433,1058,pairwise,pair__max_early_boost-0p75__target_risk_probability-0p85,"{""max_early_boost"":0.75,""target_risk_probability"":0.85}",300,0.6499999999999999
small,20280811,0.2,300,1.0,276,24,0.92,26.453333333333333,28.78342943386,7.403333333333333,1.56801112761,10.0,30.0,50.0,0.007987779950000001,0.013333333333333334,0,0.0,2,6,9,10.0,0,0.0,58.064516129032256,4.018418036666667,0.3968485,0.427277,0.883634284,0.396315268,0.8586830815,17.217536561019315,3.3324264311650285,0.03660164620400934,25.770827325613705,0.002984451798887875,-42.988363886632975,-0.12095650919914991,-0.09138617945090054,109,0.8650793650793651,126,165,0.17116182572614108,964,pairwise,pair__countdown_minutes-10__threshold_decay_factor-0p85,"{""countdown_minutes"":10,""threshold_decay_factor"":0.85}",300,0.6499999999999999
medium,20280817,1.0,300,1.0,268,32,0.8933333333333333,98.32666666666667,478.74701108560333,9.63,9.482565576796667,30.0,50.0,80.0,0.00593039124,0.09666666666666666,0,0.0,3,113,24,10.0,0,0.0,32.851711026615966,5.0084233933333335,0.340357,0.4666075,6.3680946645,2.588363393,5.6081206859999995,115.0773049802905,12.60162122978086,0.04045223979674823,206.6425535310896,0.0014387734979448986,-321.71985851138015,-0.1057723368060982,-0.11309170705820117,428,0.8392156862745098,510,159,0.1419642857142857,1120,pairwise,pair__countdown_minutes-10__threshold_decay_factor-0p85,"{""countdown_minutes"":10,""threshold_decay_factor"":0.85}",300,0.6499999999999999
large,20280829,5.0,300,1.0,266,34,0.8866666666666667,358.88666666666666,8064.921265484647,13.803333333333333,71.38674014816333,50.0,70.0,90.0,0.004313822136666667,0.29,0,0.0,3,586,97,10.0,0,1e-12,22.641509433962263,6.67447479,0.27945949999999997,0.4891565,55.6990000425,20.5465296775,44.517480968,955.2359664435241,72.09328048630371,0.044603800111007036,1233.1059813892737,0.0005096582019825304,-2188.3419478328005,-0.08349989221989028,-0.10218246615972343,1289,0.6138095238095238,2100,178,0.12936046511627908,1376,pairwise,pair__countdown_minutes-10__threshold_decay_factor-0p85,"{""countdown_minutes"":10,""threshold_decay_factor"":0.85}",300,0.6499999999999999
small,20280811,0.2,300,1.0,277,23,0.9233333333333333,30.45,40.98019334749,5.266666666666667,1.0529741349,20.0,30.0,50.0,0.0076798558766666665,0.02,1,10.0,2,14,4,5.0,0,0.0,64.0,3.20947607,0.477221,0.3812525,0.543873077,0.289410942,0.627057042,10.733477256663488,2.289808481421544,0.03397828715480218,17.424948205830237,0.001417347160702411,-28.158425462493696,-0.10561966883933357,-0.08913933884731767,112,0.7417218543046358,151,130,0.23593466424682397,551,pairwise,pair__max_early_boost-0__threshold_decay_factor-0p85,"{""max_early_boost"":0.0,""threshold_decay_factor"":0.85}",300,0.6499999999999999
medium,20280817,1.0,300,1.0,273,27,0.91,105.54,492.96014805738,6.826666666666667,6.539316527696666,30.0,50.0,70.0,0.00594677372,0.08666666666666667,0,0.0,2,93,32,5.0,0,0.0,37.30569948186529,4.057475283333333,0.3883315,0.416245,4.24056111,1.463085959,3.170019577,76.80189907779865,9.550495222109678,0.039148790118208585,44.85100221767624,0.00030327672797636663,-121.65290129547493,-0.0903305105853907,-0.062011017400277,280,0.5384615384615384,520,148,0.22289156626506024,664,pairwise,pair__max_early_boost-0__threshold_decay_factor-0p85,"{""max_early_boost"":0.0,""threshold_decay_factor"":0.85}",300,0.6499999999999999
large,20280829,5.0,300,1.0,277,23,0.9233333333333333,355.88666666666666,7834.08506734046,11.196666666666667,57.764421337516666,50.0,70.0,90.0,0.00443051798,0.19333333333333333,0,0.0,5,547,98,5.0,0,0.0,25.381903642773207,5.479335326666667,0.32084,0.490695,43.751787133,16.557475299,35.874529814,739.0379193834971,62.52729752715839,0.04264666163423262,98.9943465474632,4.2121211643957e-05,-838.0322659309586,-0.07732144136808258,-0.048359194496461734,449,0.219559902200489,2045,158,0.15815815815815815,999,pairwise,pair__max_early_boost-0__threshold_decay_factor-0p85,"{""max_early_boost"":0.0,""threshold_decay_factor"":0.85}",300,0.6499999999999999
small,20280811,0.2,300,1.0,274,26,0.9133333333333333,35.193333333333335,39.263461647026666,4.4,0.88410309107,10.0,20.0,30.0,0.004228214653333334,0.0033333333333333335,4,40.0,0,12,8,5.0,0,0.0,88.34355828220859,2.79284146,0.5023995,0.369116,0.416361406,0.240934824,0.5220254525,8.908336639172084,2.623313856934111,0.03358709607945018,16.97097859805837,0.001440777921436239,-25.879315237230458,-0.10218519487950928,-0.09757276611226279,125,0.7225433526011561,173,131,0.25736738703339884,509,pairwise,pair__risk_threshold_pct_of_safe_tvl-0p005__threshold_decay_factor-0p85,"{""risk_threshold_pct_of_safe_tvl"":0.005,""threshold_decay_factor"":0.85}",300,0.6499999999999999
medium,20280817,1.0,300,1.0,261,39,0.87,108.12666666666667,498.42728309011665,5.6466666666666665,5.296928889496667,20.0,40.0,70.0,0.0035449865533333336,0.04,0,0.0,2,68,23,5.0,0,0.0,52.55474452554745,3.4575537733333332,0.430641,0.4057185,3.09992565,1.58773814,3.440099303,60.238132394446296,10.552665528954096,0.03790758358986282,145.9743259853742,0.0009762328490552136,-206.2124583798208,-0.08424414794509227,-0.12976856506967127,348,0.6918489065606361,503,144,0.2315112540192926,622,pairwise,pair__risk_threshold_pct_of_safe_tvl-0p005__threshold_decay_factor-0p85,"{""risk_threshold_pct_of_safe_tvl"":0.005,""threshold_decay_factor"":0.85}",300,0.6499999999999999
large,20280829,5.0,300,1.0,273,27,0.91,399.99666666666667,9979.05773375926,9.453333333333333,50.11435807556333,40.0,50.0,70.0,0.0027083464533333335,0.10333333333333333,0,0.0,1,459,143,5.0,0,1e-12,32.677760968229954,5.054323363333333,0.333051,0.461828,37.24464135,14.914016847,32.313703168,630.907343765553,68.72213124223876,0.041964509972322345,294.69487951904483,9.843777752084711e-05,-925.602223284598,-0.0747909687547677,-0.061566003492050304,876,0.40630797773654914,2156,164,0.17768147345612134,923,pairwise,pair__risk_threshold_pct_of_safe_tvl-0p005__threshold_decay_factor-0p85,"{""risk_threshold_pct_of_safe_tvl"":0.005,""threshold_decay_factor"":0.85}",300,0.6499999999999999
