case_id,changes,runs,player_profitable_rate,staker_profitable_rate,combined_profitable_rate,player_ev_per_stake,player_pnl_per_stake,staker_return_per_draw,protocol_revenue_per_day,protocol_take_per_player_sol,median_funding_minutes,activation_rate,player_profit_index,staker_profit_index,revenue_day_index,protocol_take_index,user_profit_index,revenue_index,balanced_score,pareto,rank
pair__max_early_boost-0__target_risk_probability-0p85,"{""max_early_boost"":0.0,""target_risk_probability"":0.85}",3,0.18085735448905743,0.8526543535452888,0.47309500197611787,-0.14330749802594925,-0.1352688724113333,0.0018952817454314021,25.562506553474087,0.039660960818569714,40.0,1.0,0.9354475644560509,1.3137186590403864,1.1161026492998474,1.0156265832064542,1.108564350851947,1.0646800083668686,1.0864006177926553,True,24
pair__risk_threshold_pct_of_safe_tvl-0p005__risk_tvl_erosion_cap_rate-0p035,"{""risk_threshold_pct_of_safe_tvl"":0.005,""risk_tvl_erosion_cap_rate"":0.035}",3,0.21063829166857,0.772292656531493,0.4504374441982492,-0.10560682373348582,-0.09490933716962213,0.0008988926639858781,23.87002892148345,0.03698167524909229,26.666666666666668,1.0,1.095879649330646,1.1862462640275444,1.11719550386127,0.9472202055488821,1.1401680314069038,1.028703142216334,1.0830025099522593,True,25
pair__max_early_boost-0p75__risk_threshold_pct_of_safe_tvl-0p005,"{""max_early_boost"":0.75,""risk_threshold_pct_of_safe_tvl"":0.005}",3,0.2147281619752773,0.7154193892616468,0.4471576212740277,-0.08876359367648626,-0.08819620619493393,0.0007704671030348109,26.52718715517937,0.03835235655245628,23.333333333333332,1.0,1.113096511235671,1.10003368618455,1.1338929876862602,0.9819662987663036,1.1065458229706249,1.0551988913542996,1.0805674091102944,True,26
pair__risk_threshold_pct_of_safe_tvl-0p005__target_risk_probability-0p875,"{""risk_threshold_pct_of_safe_tvl"":0.005,""target_risk_probability"":0.875}",3,0.21481100916698168,0.7033585534810849,0.4198543074998101,-0.11559358930758934,-0.09774493167201322,0.0011453060841513114,27.09113390241121,0.03790307232116317,23.333333333333332,1.0,1.1109815474538265,1.0644143917119082,1.185991114866078,0.9710642682315044,1.0874487335209044,1.0731605630503267,1.0802810260083524,True,27
pair__target_risk_probability-0p875__threshold_decay_factor-0p85,"{""target_risk_probability"":0.875,""threshold_decay_factor"":0.85}",3,0.20158240734782618,0.7930671122490235,0.4640343207385032,-0.11669841736339549,-0.12020604292615196,0.001273170497959561,24.6440598587417,0.03965065522175382,33.333333333333336,1.0,1.0407768516397948,1.2239093868779911,1.0493506281649352,1.0160135073688847,1.1286348206427388,1.032547535071194,1.0795226269283007,True,28
pair__countdown_minutes-10__target_risk_probability-0p85,"{""countdown_minutes"":10,""target_risk_probability"":0.85}",3,0.13893118717165745,0.8151221559904653,0.3670742177683314,-0.15105201584391562,-0.15828956826683874,0.0025395515873834922,28.81181853292811,0.04297756113875664,40.0,1.0,0.7224020617229263,1.2574524422385327,1.2931452618355241,1.1047628046769737,0.9530929843365992,1.1952484203378615,1.067325106967609,False,29
pair__countdown_minutes-10__threshold_decay_factor-0p85,"{""countdown_minutes"":10,""threshold_decay_factor"":0.85}",3,0.14749552551890197,0.7727015250544662,0.3445118900370173,-0.10340957940837946,-0.10222011755627504,0.0016442944996051014,29.34244271574987,0.040552562037254866,30.0,1.0,0.7664626883273262,1.1789970101532894,1.3773716268986471,1.0400865669845092,0.9506088669542117,1.1969067327418967,1.0666724675652044,False,30
pair__risk_threshold_pct_of_safe_tvl-0p005__target_risk_probability-0p85,"{""risk_threshold_pct_of_safe_tvl"":0.005,""target_risk_probability"":0.85}",3,0.20551956048119732,0.7166010342363048,0.4342179937587687,-0.13949740310143266,-0.11062775963652086,0.0012119008535653403,25.739586121257535,0.03745839901963408,23.333333333333332,1.0,1.0664415861028347,1.098931739866692,1.1507430596200523,0.9590522065781734,1.0825647822103686,1.0505344689885856,1.0664293781704972,True,31
pair__target_risk_probability-0p85__threshold_decay_factor-0p85,"{""target_risk_probability"":0.85,""threshold_decay_factor"":0.85}",3,0.18768013513445436,0.8023143380478391,0.4530795326222824,-0.14101983618758718,-0.13773470395044976,0.0014165808207952037,25.866459592140895,0.03966333656193342,40.0,1.0,0.9712901572753553,1.2343443725625929,1.0603594697459116,1.0164713909267733,1.0949459072293346,1.0381835411404876,1.0661870470628663,False,32
pair__countdown_minutes-10__target_risk_probability-0p875,"{""countdown_minutes"":10,""target_risk_probability"":0.875}",3,0.14010132275794607,0.8096692880499582,0.37247466591322187,-0.1270246186102766,-0.1326314709705893,0.002413838652781982,27.721093157526987,0.04221224006706856,40.0,1.0,0.726312665377238,1.2474399720310696,1.3054281543019732,1.0843859998549528,0.951856843744895,1.1897848605279657,1.064192117090523,False,33
